iter	RMSE
0	27977.3846
1	27415.3883
2	26820.96162
3	26264.11317
4	25784.98297
5	25278.52833
6	24858.29226
7	24438.09967
8	23979.2497
9	23604.9983
10	23162.76518
11	22789.42074
12	22472.73348
13	22212.36614
14	21896.09922
15	21591.53759
16	21334.25371
17	21096.71975
18	20796.84695
19	20588.25559
20	20359.083
21	20124.86485
22	19934.4955
23	19703.49118
24	19561.7077
25	19358.78238
26	19198.96146
27	18996.10514
28	18892.66352
29	18724.95591
30	18570.55628
31	18419.86593
32	18334.88765
33	18213.8585
34	18087.25281
35	17978.34856
36	17902.10746
37	17783.40837
38	17708.19043
39	17649.10148
40	17586.54595
41	17485.38491
42	17427.21004
43	17373.53252
44	17308.79627
45	17246.898
46	17197.50445
47	17159.82728
48	17129.57896
49	17097.31556
50	17017.29713
51	16965.36076
52	16940.67691
53	16909.02074
54	16856.57698
55	16830.6361
56	16789.39572
57	16772.54474
58	16745.10953
59	16718.69107
60	16668.49618
61	16640.31607
62	16583.06705
63	16541.02627
64	16496.69474
65	16453.02488
66	16436.71317
67	16404.76812
68	16365.3255
69	16348.88265
70	16333.1562
71	16322.23551
72	16303.48874
73	16296.09338
74	16284.81788
75	16272.61342
76	16251.05217
77	16234.14336
78	16215.44955
79	16204.06313
80	16177.54642
81	16145.20117
82	16133.29418
83	16112.30602
84	16090.88384
85	16072.42996
86	16043.82586
87	16010.64782
88	15986.55365
89	15965.77157
90	15963.8742
91	15943.08104
92	15936.23324
93	15913.82789
94	15903.6433
95	15885.92067
96	15876.15441
97	15863.70364
98	15847.7761
99	15827.14443
100	15815.16627
101	15801.69002
102	15793.21436
103	15782.08814
104	15772.60266
105	15761.3077
106	15746.70523
107	15728.6824
108	15709.52609
109	15696.57731
110	15687.11398
111	15680.47051
112	15672.28488
113	15668.20991
114	15662.08481
115	15654.90046
116	15640.35268
117	15631.55783
118	15624.42772
119	15622.01774
120	15599.33806
121	15594.24615
122	15580.29035
123	15558.73329
124	15547.47816
125	15533.82864
126	15519.54632
127	15508.62205
128	15503.84523
129	15496.19632
130	15486.54749
131	15474.0786
132	15462.06006
133	15454.61612
134	15441.68443
135	15435.8783
136	15417.29993
137	15407.81489
138	15397.8728
139	15392.21155
140	15385.70311
141	15375.86084
142	15367.82289
143	15359.22676
144	15347.3214
145	15342.60596
146	15333.46084
147	15328.97423
148	15320.21293
149	15312.30213
150	15299.88391
151	15293.11692
152	15278.51899
153	15268.44774
154	15250.41436
155	15240.91522
156	15229.62899
157	15221.08682
158	15213.36427
159	15208.0429
160	15203.77956
161	15194.80805
162	15176.92942
163	15175.96928
164	15158.92659
165	15147.98604
166	15131.70401
167	15123.6945
168	15114.28525
169	15110.60425
170	15100.29991
171	15090.97774
172	15087.35436
173	15076.14997
174	15064.48928
175	15052.19715
176	15042.33217
177	15032.76429
178	15017.69434
179	15005.45036
180	14999.42705
181	14995.03562
182	14981.37202
183	14973.57983
184	14968.05774
185	14958.47758
186	14945.72958
187	14936.11789
188	14926.93357
189	14919.25542
190	14914.11176
191	14909.68419
192	14894.62693
193	14882.16829
194	14873.26239
195	14869.69829
196	14857.5593
197	14847.6998
198	14833.0836
199	14824.25443
200	14813.41398
201	14800.23217
202	14784.97819
203	14775.86647
204	14765.29242
205	14760.20319
206	14750.96843
207	14735.70051
208	14732.31368
209	14724.91593
210	14709.10632
211	14700.42239
212	14694.78752
213	14687.08308
214	14679.17877
215	14664.38117
216	14652.04452
217	14643.83295
218	14640.28423
219	14636.41922
220	14622.59988
221	14612.67726
222	14602.61174
223	14594.27687
224	14591.789
225	14588.48588
226	14572.35788
227	14566.68165
228	14563.72505
229	14546.94605
230	14536.69026
231	14533.37229
232	14530.26802
233	14515.53249
234	14512.97428
235	14508.13017
236	14494.69235
237	14484.53129
238	14476.61851
239	14466.64106
240	14453.24638
241	14443.75688
242	14433.59561
243	14430.86451
244	14417.00208
245	14408.1222
246	14406.49002
247	14403.92134
248	14395.46967
249	14393.72703
250	14380.29412
251	14372.57579
252	14371.08694
253	14362.06474
254	14349.16597
255	14338.94375
256	14336.05144
257	14333.20798
258	14331.72385
259	14316.69033
260	14310.03113
261	14303.16635
262	14294.66314
263	14287.19395
264	14284.75577
265	14283.42625
266	14282.14764
267	14269.71865
268	14260.21315
269	14258.98098
270	14256.38777
271	14252.21142
272	14251.04273
273	14239.10765
274	14232.00909
275	14229.53665
276	14228.42883
277	14216.97407
278	14214.96113
279	14208.89952
280	14197.14113
281	14195.21454
282	14184.09854
283	14177.98815
284	14176.91792
285	14170.3244
286	14159.38317
287	14151.95184
288	14146.25346
289	14136.17729
290	14125.12958
291	14124.23758
292	14118.97851
293	14116.88072
294	14107.39927
295	14105.39448
296	14099.7858
297	14098.9414
298	14097.21004
299	14084.93015
300	14080.06843
301	14069.43779
302	14059.24251
303	14057.38833
304	14056.38301
305	14055.46766
306	14049.65241
307	14044.24811
308	14043.36679
309	14038.17774
310	14024.05984
311	14017.83362
312	14012.26435
313	14001.86941
314	14000.25814
315	13995.73539
316	13982.27166
317	13981.52641
318	13973.15274
319	13968.14267
320	13958.30011
321	13954.11764
322	13945.16654
323	13944.33345
324	13931.49891
325	13922.19275
326	13916.83784
327	13912.64547
328	13910.96272
329	13902.07074
330	13897.38275
331	13888.38648
332	13875.88394
333	13874.37946
334	13873.68063
335	13864.62536
336	13852.21565
337	13840.28168
338	13839.60452
339	13838.84654
340	13831.35841
341	13821.12661
342	13816.59681
343	13815.96162
344	13815.25143
345	13809.24981
346	13802.45975
347	13801.86208
348	13801.28414
349	13800.63364
350	13800.09071
351	13796.92307
352	13789.2234
353	13782.55461
354	13778.65003
355	13765.51888
356	13758.35391
357	13754.74362
358	13743.36793
359	13734.66873
360	13730.68288
361	13726.86841
362	13721.0578
363	13712.83672
364	13706.81541
365	13705.20363
366	13698.81283
367	13692.85143
368	13686.74071
369	13686.22299
370	13675.45643
371	13669.77908
372	13669.19315
373	13661.08687
374	13653.60361
375	13648.20253
376	13644.49643
377	13640.35842
378	13638.82873
379	13636.69413
380	13633.23893
381	13629.82748
382	13622.36206
383	13616.28915
384	13610.69104
385	13607.42728
386	13602.1935
387	13599.49328
388	13592.2026
389	13590.82291
390	13589.39921
391	13586.42635
392	13582.74071
393	13579.91287
394	13577.17135
395	13574.61543
396	13569.66205
397	13559.32248
398	13555.5683
399	13548.45605
400	13541.55876
401	13540.2753
402	13535.76427
403	13530.29927
404	13526.86484
405	13523.45529
406	13520.01002
407	13513.2564
408	13503.36822
409	13496.76335
410	13494.24857
411	13491.81062
412	13485.54009
413	13476.01139
414	13469.77331
415	13467.84803
416	13464.80941
417	13463.74542
418	13460.80885
419	13456.41196
420	13455.11398
421	13448.84271
422	13442.91842
423	13437.84428
424	13436.72303
425	13432.58016
426	13426.66537
427	13417.55046
428	13411.78383
429	13403.45277
430	13397.9596
431	13392.00147
432	13386.98365
433	13385.19122
434	13383.97972
435	13378.35131
436	13372.63875
437	13367.16671
438	13361.92458
439	13353.84635
440	13353.38321
441	13349.58822
442	13344.89945
443	13343.80387
444	13340.94024
445	13335.68438
446	13333.95641
447	13332.90857
448	13330.9785
449	13323.15606
450	13318.10233
451	13309.34986
452	13305.30665
453	13296.8825
454	13293.38186
455	13286.18336
456	13280.8518
457	13277.533
458	13270.55556
459	13267.78104
460	13262.94854
461	13261.88538
462	13255.1211
463	13245.8552
464	13241.51139
465	13234.95325
466	13231.30796
467	13226.81394
468	13223.54038
469	13220.55685
470	13217.68294
471	13211.32128
472	13202.46624
473	13197.87768
474	13195.50924
475	13189.34026
476	13184.93104
477	13180.931
478	13174.37031
479	13167.92005
480	13160.24883
481	13155.99809
482	13151.63612
483	13150.6208
484	13145.11104
485	13144.13708
486	13141.1644
487	13132.61641
488	13132.16035
489	13127.37425
490	13122.71685
491	13120.0182
492	13111.84044
493	13107.44649
494	13103.5267
495	13101.95578
496	13097.88437
497	13096.94774
498	13091.10933
499	13088.1437
500	13084.37521
501	13078.71659
502	13074.65073
503	13070.31602
504	13067.52905
505	13065.00257
506	13062.27579
507	13055.40103
508	13052.54194
509	13049.93971
510	13044.44618
511	13042.08553
512	13038.36098
513	13030.78173
514	13026.99803
515	13022.76596
516	13020.48737
517	13015.15502
518	13011.14398
519	13008.78171
520	13003.61304
521	12999.20463
522	12997.25675
523	12994.04644
524	12989.77497
525	12987.83567
526	12985.76655
527	12984.86289
528	12981.79276
529	12981.27453
530	12980.35959
531	12976.21887
532	12972.70535
533	12969.76916
534	12966.93011
535	12962.91678
536	12957.64624
537	12954.83524
538	12951.0843
539	12950.65114
540	12947.01726
541	12944.32909
542	12939.53505
543	12937.93649
544	12933.94507
545	12928.91156
546	12926.21417
547	12920.87146
548	12916.47643
549	12915.65103
550	12914.12328
551	12909.3852
552	12905.14882
553	12901.27812
554	12899.33255
555	12896.75564
556	12892.16156
557	12890.58853
558	12889.77328
559	12888.02035
560	12881.12971
561	12878.43329
562	12873.97789
563	12871.39855
564	12864.76302
565	12862.08955
566	12858.47584
567	12856.80666
568	12852.05344
569	12845.91719
570	12842.46296
571	12837.70781
572	12834.22332
573	12831.63308
574	12825.44582
575	12821.06576
576	12817.95497
577	12817.46827
578	12812.97735
579	12811.20037
580	12805.23949
581	12801.93444
582	12798.40865
583	12796.91241
584	12796.06909
585	12793.15371
586	12791.39174
587	12788.93153
588	12784.58549
589	12783.77724
590	12780.47233
591	12777.50948
592	12777.09705
593	12773.31127
594	12771.95502
595	12766.52904
596	12761.60562
597	12758.67644
598	12754.99291
599	12753.63803
600	12748.70086
601	12744.514
602	12740.74046
603	12738.49952
604	12738.09894
605	12737.32271
606	12733.66599
607	12730.83726
608	12725.8681
609	12722.54873
610	12719.83023
611	12718.58268
612	12714.24505
613	12713.05416
614	12709.27056
615	12705.63023
616	12705.24154
617	12703.07992
618	12701.54956
619	12698.04629
620	12697.67006
621	12694.29882
622	12693.60622
623	12692.70291
624	12691.56331
625	12686.57244
626	12683.63595
627	12680.94994
628	12678.22913
629	12674.38086
630	12672.4085
631	12667.5965
632	12664.13829
633	12662.64289
634	12658.00877
635	12655.43082
636	12655.00779
637	12651.86409
638	12649.07797
639	12645.72433
640	12644.69989
641	12641.70952
642	12638.45981
643	12637.26492
644	12634.79043
645	12633.92232
646	12630.91342
647	12628.35207
648	12624.91088
649	12623.76956
650	12621.12827
651	12620.48301
652	12618.84536
653	12614.87569
654	12610.56013
655	12608.68614
656	12606.47126
657	12604.00597
658	12602.12879
659	12600.2037
660	12596.42704
661	12594.43831
662	12591.10488
663	12588.51488
664	12586.23339
665	12585.22539
666	12584.42408
667	12583.46221
668	12580.99029
669	12578.14355
670	12577.32749
671	12576.7384
672	12575.71332
673	12574.82422
674	12574.09086
675	12573.2422
676	12571.35906
677	12568.13271
678	12566.29943
679	12563.40122
680	12561.35522
681	12558.99364
682	12558.29274
683	12557.48008
684	12555.68874
685	12553.3049
686	12551.01901
687	12548.82677
688	12546.66552
