iter	Passed	Remaining
0	135	135697
1	140	70305
2	146	48550
3	150	37540
4	155	31032
5	162	26890
6	167	23704
7	171	21307
8	177	19508
9	182	18077
10	187	16837
11	193	15921
12	199	15116
13	204	14406
14	209	13748
15	214	13209
16	220	12744
17	225	12309
18	231	11933
19	236	11601
20	242	11285
21	246	10962
22	251	10674
23	256	10415
24	260	10178
25	266	9971
26	270	9764
27	275	9580
28	281	9420
29	286	9267
30	291	9124
31	297	8998
32	303	8894
33	308	8778
34	314	8669
35	319	8553
36	324	8434
37	329	8333
38	334	8233
39	339	8137
40	344	8052
41	348	7956
42	353	7861
43	358	7786
44	363	7713
45	369	7662
46	374	7600
47	379	7534
48	384	7460
49	389	7393
50	394	7332
51	399	7278
52	403	7217
53	409	7173
54	414	7123
55	419	7078
56	425	7038
57	430	6996
58	437	6975
59	445	6986
60	451	6944
61	456	6898
62	460	6850
63	465	6805
64	470	6764
65	475	6722
66	479	6683
67	484	6640
68	488	6597
69	493	6558
70	499	6529
71	503	6495
72	508	6456
73	514	6440
74	519	6412
75	525	6388
76	530	6360
77	535	6333
78	540	6298
79	546	6280
80	551	6253
81	555	6222
82	561	6199
83	565	6171
84	570	6144
85	575	6120
86	581	6099
87	587	6088
88	593	6070
89	598	6054
90	604	6043
91	611	6030
92	616	6010
93	621	5992
94	627	5978
95	632	5954
96	637	5933
97	642	5910
98	646	5887
99	651	5863
100	656	5842
101	661	5819
102	665	5797
103	670	5780
104	675	5761
105	680	5738
106	685	5718
107	689	5697
108	694	5676
109	698	5655
110	703	5637
111	708	5619
112	713	5600
113	718	5582
114	722	5562
115	727	5543
116	732	5529
117	738	5518
118	743	5502
119	748	5486
120	753	5472
121	757	5453
122	763	5440
123	768	5425
124	772	5405
125	776	5386
126	781	5374
127	787	5362
128	791	5347
129	797	5336
130	801	5319
131	806	5304
132	811	5292
133	817	5282
134	822	5267
135	826	5251
136	831	5237
137	835	5220
138	840	5208
139	845	5196
140	851	5184
141	856	5174
142	861	5160
143	865	5147
144	871	5136
145	875	5123
146	880	5110
147	885	5098
148	890	5085
149	894	5070
150	899	5057
151	904	5045
152	909	5032
153	913	5019
154	919	5013
155	924	5001
156	929	4989
157	934	4978
158	938	4966
159	943	4955
160	949	4946
161	954	4935
162	958	4922
163	963	4911
164	968	4899
165	973	4890
166	978	4880
167	983	4872
168	988	4860
169	993	4849
170	998	4840
171	1003	4829
172	1008	4819
173	1013	4811
174	1019	4806
175	1024	4796
176	1029	4785
177	1033	4774
178	1038	4763
179	1043	4752
180	1048	4743
181	1053	4733
182	1058	4723
183	1062	4714
184	1067	4703
185	1072	4693
186	1077	4682
187	1081	4672
188	1086	4663
189	1091	4655
190	1097	4648
191	1102	4639
192	1107	4630
193	1111	4619
194	1117	4611
195	1122	4602
196	1126	4592
197	1132	4585
198	1136	4575
199	1141	4565
200	1146	4556
201	1150	4546
202	1155	4538
203	1160	4528
204	1166	4524
205	1171	4514
206	1176	4505
207	1181	4497
208	1185	4486
209	1190	4479
210	1196	4472
211	1200	4462
212	1205	4452
213	1210	4444
214	1214	4434
215	1219	4425
216	1224	4418
217	1230	4412
218	1234	4404
219	1240	4396
220	1247	4398
221	1253	4391
222	1257	4382
223	1262	4374
224	1267	4366
225	1273	4360
226	1278	4353
227	1283	4347
228	1290	4344
229	1295	4335
230	1300	4329
231	1305	4323
232	1310	4314
233	1314	4304
234	1319	4295
235	1324	4286
236	1328	4277
237	1333	4269
238	1338	4261
239	1342	4251
240	1347	4243
241	1351	4234
242	1356	4225
243	1361	4217
244	1366	4211
245	1371	4202
246	1375	4193
247	1380	4185
248	1386	4181
249	1391	4174
250	1396	4167
251	1401	4160
252	1406	4151
253	1410	4143
254	1416	4138
255	1421	4131
256	1427	4125
257	1432	4119
258	1437	4113
259	1443	4108
260	1449	4103
261	1454	4096
262	1459	4089
263	1464	4082
264	1469	4074
265	1473	4066
266	1478	4059
267	1483	4051
268	1488	4044
269	1493	4038
270	1498	4029
271	1502	4022
272	1508	4018
273	1514	4012
274	1519	4006
275	1524	3998
276	1528	3990
277	1533	3983
278	1539	3977
279	1544	3971
280	1549	3963
281	1554	3957
282	1559	3950
283	1565	3946
284	1571	3942
285	1585	3958
286	1590	3952
287	1595	3945
288	1602	3943
289	1607	3936
290	1612	3929
291	1618	3923
292	1623	3916
293	1628	3910
294	1634	3905
295	1639	3898
296	1643	3890
297	1648	3883
298	1653	3877
299	1659	3872
300	1665	3867
301	1670	3860
302	1675	3854
303	1682	3851
304	1687	3844
305	1693	3840
306	1698	3834
307	1703	3828
308	1709	3822
309	1714	3815
310	1719	3808
311	1724	3802
312	1729	3796
313	1734	3790
314	1740	3783
315	1745	3778
316	1750	3771
317	1756	3767
318	1762	3761
319	1767	3755
320	1773	3750
321	1778	3744
322	1783	3738
323	1789	3733
324	1794	3727
325	1799	3721
326	1805	3715
327	1810	3709
328	1815	3703
329	1821	3698
330	1827	3693
331	1832	3687
332	1838	3681
333	1843	3675
334	1849	3670
335	1854	3664
336	1859	3658
337	1864	3652
338	1869	3645
339	1874	3638
340	1879	3632
341	1884	3625
342	1889	3618
343	1894	3611
344	1899	3605
345	1904	3599
346	1909	3593
347	1914	3587
348	1919	3581
349	1925	3575
350	1930	3568
351	1934	3561
352	1939	3555
353	1944	3548
354	1949	3541
355	1953	3534
356	1959	3528
357	1963	3521
358	1968	3515
359	1973	3508
360	1978	3502
361	1983	3495
362	1988	3488
363	1993	3483
364	1998	3477
365	2004	3471
366	2008	3464
367	2014	3459
368	2020	3454
369	2026	3450
370	2031	3444
371	2036	3437
372	2040	3430
373	2045	3424
374	2050	3417
375	2055	3411
376	2060	3405
377	2066	3399
378	2071	3393
379	2076	3388
380	2082	3382
381	2088	3378
382	2093	3373
383	2099	3367
384	2106	3365
385	2111	3359
386	2116	3352
387	2121	3346
388	2127	3340
389	2132	3335
390	2137	3329
391	2142	3323
392	2148	3318
393	2154	3313
394	2159	3307
395	2164	3301
396	2169	3295
397	2174	3289
398	2180	3284
399	2185	3278
400	2190	3272
401	2196	3268
402	2202	3262
403	2206	3255
404	2212	3250
405	2217	3244
406	2222	3238
407	2228	3232
408	2233	3226
409	2238	3221
410	2244	3216
411	2249	3210
412	2254	3204
413	2259	3198
414	2264	3192
415	2270	3186
416	2277	3184
417	2282	3178
418	2288	3172
419	2293	3167
420	2298	3160
421	2303	3155
422	2308	3149
423	2313	3142
424	2318	3136
425	2323	3130
426	2328	3124
427	2332	3117
428	2337	3110
429	2341	3104
430	2346	3098
431	2351	3091
432	2355	3085
433	2361	3079
434	2366	3073
435	2370	3066
436	2375	3060
437	2380	3054
438	2384	3047
439	2389	3041
440	2395	3035
441	2399	3029
442	2404	3022
443	2409	3016
444	2413	3010
445	2418	3004
446	2424	3000
447	2429	2993
448	2434	2987
449	2439	2981
450	2444	2975
451	2448	2969
452	2454	2963
453	2460	2959
454	2465	2953
455	2471	2948
456	2476	2943
457	2481	2936
458	2486	2931
459	2492	2926
460	2497	2920
461	2502	2914
462	2508	2909
463	2513	2903
464	2518	2897
465	2523	2891
466	2528	2885
467	2533	2879
468	2538	2874
469	2544	2869
470	2549	2863
471	2554	2857
472	2559	2851
473	2564	2846
474	2570	2840
475	2574	2834
476	2580	2829
477	2585	2823
478	2590	2817
479	2595	2811
480	2600	2805
481	2604	2799
482	2609	2793
483	2614	2787
484	2618	2780
485	2623	2774
486	2628	2769
487	2633	2762
488	2638	2757
489	2644	2752
490	2649	2746
491	2654	2740
492	2659	2734
493	2664	2729
494	2669	2723
495	2674	2717
496	2679	2711
497	2684	2705
498	2690	2701
499	2695	2695
500	2699	2689
501	2704	2682
502	2708	2676
503	2714	2670
504	2719	2665
505	2724	2659
506	2729	2653
507	2734	2648
508	2739	2642
509	2744	2637
510	2749	2631
511	2754	2625
512	2759	2619
513	2764	2613
514	2769	2608
515	2774	2602
516	2779	2596
517	2785	2591
518	2790	2586
519	2795	2580
520	2800	2574
521	2804	2568
522	2809	2562
523	2814	2556
524	2819	2550
525	2824	2544
526	2830	2540
527	2835	2534
528	2839	2528
529	2845	2523
530	2850	2517
531	2854	2511
532	2859	2505
533	2865	2500
534	2870	2494
535	2875	2489
536	2880	2483
